dossier	chambre	stade	fichier	url
JORFDOLE000048404267	assemblee	Texte modifié en 1ère lecture par l'Assemblée nationale le 14 février 2024	dyn-16-textes-l16t0241_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0241_texte-adopte-seance
JORFDOLE000048404267	senat	Texte adopté en 1ère lecture par le Sénat le 19 décembre 2023	leg-tas23-044.html	https://www.senat.fr/leg/tas23-044.html
JORFDOLE000048404267	senat	Texte de la commission déposé le 13 décembre 2023	leg-pjl23-201.html	https://www.senat.fr/leg/pjl23-201.html
JORFDOLE000048404267	senat	Texte rejeté par l'adoption d'une question préalable, par le Sénat, en nouvelle lecture, le 2 avril 2024	leg-tas23-105.html	https://www.senat.fr/leg/tas23-105.html
JORFDOLE000048559623	assemblee	Texte adopté dans les conditions prévues à l'article 45, alinéa 3, de la Constitution, par l'Assemblée nationale le 19 mars 2024	dyn-16-textes-l16t0264_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0264_texte-adopte-seance
JORFDOLE000048559623	assemblee	Texte adopté en 1ère lecture par l'Assemblée nationale le 23 janvier 2024	dyn-16-textes-l16t0229_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0229_texte-adopte-seance
JORFDOLE000048559623	assemblee	Texte de la commission déposé le 17 janvier 2024	dyn-16-textes-l16b2066_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b2066_texte-adopte-commission#
JORFDOLE000048559623	senat	Texte adopté, dans les conditions prévues à l'article 45, alinéa 3, de la Constitution, par le Sénat le 27 mars 2024	leg-tas23-099.html	https://www.senat.fr/leg/tas23-099.html
JORFDOLE000048559623	senat	Texte de la CMP déposé le 14 mars 2024	leg-pjl23-429.html	https://www.senat.fr/leg/pjl23-429.html
JORFDOLE000048559623	senat	Texte de la commission déposé le 14 février 2024	leg-pjl23-343.html	https://www.senat.fr/leg/pjl23-343.html
JORFDOLE000048559623	senat	Texte modifié en 1ère lecture par le Sénat le 28 février 2024	leg-tas23-076.html	https://www.senat.fr/leg/tas23-076.html
JORFDOLE000048632889	assemblee	Texte adopté, dans les conditions prévues à l'article 45, alinéa 3, de la Constitution, par l'Assemblée nationale le 9 avril 2024	dyn-16-textes-l16t0283_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0283_texte-adopte-seance
JORFDOLE000048632889	assemblee	Texte de la commission déposé le 7 mars 2024	dyn-16-textes-l16b2305_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b2305_texte-adopte-commission#
